"zipcode","crime_count","crime_rate"
60620,6697,0.0387326998374811
60619,6584,0.0380791542078506
60628,5855,0.0338629173582876
60623,5589,0.0323244825133167
60617,5517,0.0319080640590389
60637,5347,0.0309248538197718
60649,5331,0.0308323163854878
60644,5158,0.0298317553772925
60647,4786,0.0276802600301903
60629,4715,0.0272696251655553
60624,4489,0.0259625339062943
60612,4454,0.0257601082687981
60639,4408,0.0254940631452317
60609,4322,0.0249966744359554
60608,4259,0.0246323082884623
60651,4209,0.0243431288063249
60621,4189,0.02422745701347
60607,3857,0.0223073052520778
60622,3777,0.0218446180806579
60632,3748,0.0216768939810183
